ID;Gender;Ever_Married;Graduated;Profession;Spending_Score;Age_Category;Family_Size_Cat
460406;M;Yes;Yes;Healthcare;Low;Between 30 and 41;2 people
460408;F;No;Yes;Artist;Low;Between 41 and 53;1 person
460409;F;No;Yes;Artist;Low;Between 41 and 53;3 or 4 people
460415;F;No;Yes;Entertainment;Low;Over 53;2 people
460422;M;Yes;Yes;Entertainment;High;Between 41 and 53;2 people
460431;F;No;Yes;Engineer;Low;Between 41 and 53;1 person
460434;M;;Yes;Artist;High;Over 53;3 or 4 people
460437;F;No;Yes;Artist;Low;Under 30;1 person
460440;F;No;No;Artist;Low;Under 30;2 people
460443;F;No;Yes;Doctor;Low;Between 30 and 41;1 person
460447;M;;No;Lawyer;Low;Over 53;1 person
460449;M;No;No;Marketing;Low;Under 30;1 person
460450;M;Yes;Yes;Executive;High;Between 41 and 53;3 or 4 people
460453;F;No;Yes;Doctor;Low;Between 41 and 53;1 person
460454;M;No;Yes;Artist;Low;Between 41 and 53;1 person
460457;F;No;Yes;Entertainment;Low;Between 30 and 41;2 people
460459;F;No;No;Engineer;Low;Under 30;5 or more people
460460;M;Yes;No;Entertainment;Low;Under 30;3 or 4 people
460467;F;Yes;Yes;Artist;Average;Between 41 and 53;2 people
460470;M;No;No;Healthcare;Low;Between 30 and 41;3 or 4 people
460476;M;Yes;No;Doctor;Average;Over 53;3 or 4 people
460477;M;No;No;Entertainment;Low;Under 30;5 or more people
460484;F;No;No;Healthcare;Low;Under 30;5 or more people
460485;F;No;No;Marketing;Low;Under 30;5 or more people
460489;M;No;No;Healthcare;Low;Under 30;5 or more people
460492;F;No;No;Marketing;Low;Between 30 and 41;2 people
460495;M;No;No;Healthcare;Low;Under 30;5 or more people
460504;M;;No;Executive;Average;Between 30 and 41;3 or 4 people
460505;F;No;Yes;Engineer;Low;Under 30;3 or 4 people
460507;M;No;No;Doctor;Low;Between 30 and 41;3 or 4 people
460508;M;Yes;Yes;Healthcare;High;Between 30 and 41;3 or 4 people
460518;F;Yes;Yes;Engineer;Average;Between 30 and 41;3 or 4 people
460522;F;Yes;No;Homemaker;Average;Between 30 and 41;2 people
460541;F;Yes;Yes;Homemaker;Average;Between 41 and 53;3 or 4 people
460542;F;Yes;No;Lawyer;Low;Over 53;2 people
460545;M;Yes;No;Lawyer;High;Over 53;3 or 4 people
460546;F;Yes;Yes;Lawyer;Low;Over 53;2 people
460547;F;Yes;Yes;Homemaker;Average;Between 41 and 53;2 people
460549;M;No;Yes;Artist;Low;Between 30 and 41;2 people
460550;F;Yes;Yes;Artist;Average;Over 53;3 or 4 people
460551;M;Yes;Yes;Engineer;Average;Between 41 and 53;2 people
460555;M;Yes;Yes;Homemaker;Average;Between 41 and 53;3 or 4 people
460556;F;Yes;Yes;;Low;Between 30 and 41;1 person
460558;F;Yes;Yes;Engineer;Low;Between 30 and 41;1 person
460561;F;No;No;Engineer;Low;Between 30 and 41;1 person
460563;F;No;No;Healthcare;Low;Between 30 and 41;2 people
460566;M;Yes;Yes;Homemaker;Average;Between 30 and 41;2 people
460571;M;No;No;Doctor;Low;Under 30;3 or 4 people
460572;F;No;Yes;Engineer;Low;Between 30 and 41;3 or 4 people
460574;M;No;Yes;Artist;Low;Under 30;1 person
460582;F;No;No;Entertainment;Low;Under 30;1 person
460583;M;No;No;Marketing;Low;Under 30;5 or more people
460585;M;No;No;Entertainment;Low;Between 41 and 53;3 or 4 people
460586;M;No;Yes;Healthcare;Low;Under 30;2 people
460588;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460597;F;No;No;Marketing;Low;Under 30;2 people
460598;F;Yes;Yes;Doctor;Average;Between 30 and 41;3 or 4 people
460605;M;Yes;Yes;Doctor;Average;Under 30;2 people
460606;M;No;No;Healthcare;Low;Under 30;5 or more people
460612;M;No;Yes;Entertainment;Low;Under 30;3 or 4 people
460615;F;No;Yes;Healthcare;Low;Under 30;2 people
460618;M;Yes;Yes;Lawyer;Low;Over 53;3 or 4 people
460619;M;No;Yes;Entertainment;Low;Between 41 and 53;2 people
460621;M;Yes;Yes;Lawyer;Low;Over 53;2 people
460622;F;Yes;Yes;Lawyer;High;Over 53;3 or 4 people
460626;M;Yes;No;Doctor;High;Between 41 and 53;3 or 4 people
460627;F;No;No;;Low;Under 30;3 or 4 people
460633;M;Yes;Yes;;High;Between 30 and 41;2 people
460634;F;No;No;Entertainment;Low;Between 30 and 41;5 or more people
460637;F;No;No;Healthcare;Low;Under 30;2 people
460638;F;No;Yes;Artist;Low;Under 30;3 or 4 people
460639;F;Yes;Yes;Lawyer;Low;Over 53;5 or more people
460640;M;Yes;;Lawyer;Low;Over 53;1 person
460645;F;No;No;Doctor;Low;Between 30 and 41;2 people
460646;M;Yes;Yes;Entertainment;Low;Over 53;2 people
460653;F;No;No;Homemaker;Low;Under 30;1 person
460656;F;Yes;Yes;Artist;Low;Under 30;3 or 4 people
460658;F;Yes;Yes;Marketing;Average;Between 30 and 41;3 or 4 people
460659;F;Yes;Yes;Marketing;Average;Between 41 and 53;3 or 4 people
460660;M;No;;Entertainment;Low;Between 30 and 41;1 person
460661;F;No;No;Homemaker;Low;Between 30 and 41;1 person
460668;F;No;Yes;Doctor;Low;Between 30 and 41;2 people
460678;F;No;No;Doctor;Low;Between 30 and 41;2 people
460686;F;;No;Homemaker;Low;Under 30;1 person
460687;F;Yes;Yes;Homemaker;Average;Between 41 and 53;2 people
460691;F;No;No;Homemaker;Low;Under 30;1 person
460702;F;No;Yes;Artist;Low;Between 41 and 53;1 person
460703;F;Yes;Yes;Engineer;Average;Between 30 and 41;5 or more people
460706;F;No;No;Engineer;Low;Between 30 and 41;5 or more people
460708;M;Yes;Yes;Artist;Low;Between 30 and 41;3 or 4 people
460716;M;Yes;Yes;Entertainment;Average;Between 41 and 53;3 or 4 people
460719;F;Yes;Yes;Lawyer;Low;Over 53;2 people
460720;F;Yes;Yes;Artist;Average;Between 41 and 53;2 people
460722;M;Yes;No;Entertainment;Average;Between 30 and 41;3 or 4 people
460726;M;Yes;Yes;Artist;Average;Over 53;2 people
460727;M;Yes;No;Executive;High;Over 53;3 or 4 people
460729;M;Yes;Yes;Entertainment;Low;Between 30 and 41;3 or 4 people
460733;M;No;Yes;Marketing;Low;Over 53;3 or 4 people
460734;M;Yes;Yes;Entertainment;Average;Between 30 and 41;2 people
460738;F;No;No;Engineer;Low;Over 53;2 people
460740;M;Yes;Yes;Artist;Average;Between 30 and 41;3 or 4 people
460743;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
460746;M;No;No;Marketing;Low;Under 30;3 or 4 people
460763;M;No;Yes;Artist;Low;Between 41 and 53;2 people
460769;F;Yes;No;Lawyer;High;Over 53;2 people
460780;F;No;Yes;Healthcare;Low;Under 30;2 people
460783;M;Yes;Yes;Lawyer;Low;Over 53;1 person
460785;M;No;Yes;Healthcare;Low;Under 30;3 or 4 people
460789;M;Yes;Yes;Executive;Low;Between 41 and 53;3 or 4 people
460794;F;Yes;Yes;Homemaker;Low;Between 30 and 41;1 person
460796;M;Yes;No;Lawyer;Low;Over 53;3 or 4 people
460802;M;Yes;Yes;Lawyer;High;Over 53;2 people
460811;F;Yes;No;Engineer;High;Between 41 and 53;2 people
460813;F;Yes;No;Lawyer;High;Over 53;2 people
460815;M;Yes;Yes;Artist;High;Over 53;2 people
460822;M;Yes;Yes;Artist;Low;Between 41 and 53;2 people
460825;M;No;Yes;Doctor;Low;Under 30;3 or 4 people
460828;M;No;No;Entertainment;Low;Between 41 and 53;1 person
460830;M;Yes;No;Entertainment;Average;Between 30 and 41;5 or more people
460831;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460837;F;No;Yes;Artist;Low;Under 30;1 person
460838;M;No;Yes;Artist;Low;Between 30 and 41;2 people
460840;M;Yes;Yes;Lawyer;Low;Over 53;1 person
460844;M;Yes;Yes;Healthcare;Low;Between 41 and 53;2 people
460846;F;No;No;Marketing;Low;Under 30;3 or 4 people
460847;M;No;Yes;Artist;Low;Under 30;3 or 4 people
460851;M;Yes;No;Doctor;Average;Over 53;3 or 4 people
460855;M;Yes;Yes;Artist;Low;Between 41 and 53;2 people
460857;M;No;No;Entertainment;Low;Under 30;1 person
460859;M;Yes;Yes;Entertainment;Low;Between 41 and 53;3 or 4 people
460860;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
460861;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460866;M;No;Yes;Doctor;Low;Under 30;5 or more people
460870;M;No;Yes;Healthcare;Low;Between 30 and 41;2 people
460871;F;No;Yes;Healthcare;Low;Between 30 and 41;2 people
460872;F;Yes;Yes;Artist;Low;Between 30 and 41;2 people
460877;F;Yes;No;Artist;Average;Over 53;5 or more people
460878;M;Yes;No;Entertainment;Average;Between 41 and 53;3 or 4 people
460882;M;No;No;Healthcare;Low;Under 30;2 people
460888;M;Yes;No;Homemaker;Low;Between 30 and 41;1 person
460891;F;Yes;No;Artist;Average;Between 30 and 41;3 or 4 people
460897;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460898;M;Yes;No;Artist;Average;Between 41 and 53;3 or 4 people
460899;M;No;Yes;Entertainment;Low;Between 30 and 41;3 or 4 people
460901;M;No;No;Doctor;Low;Under 30;3 or 4 people
460902;M;No;Yes;Executive;Low;Between 30 and 41;3 or 4 people
460905;M;No;Yes;Artist;Low;Under 30;1 person
460906;F;Yes;Yes;Lawyer;High;Over 53;3 or 4 people
460907;M;Yes;No;Lawyer;High;Over 53;3 or 4 people
460923;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
460924;M;No;No;Doctor;Low;Between 30 and 41;5 or more people
460928;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
460934;F;No;No;Doctor;Low;Under 30;2 people
460935;M;Yes;Yes;Lawyer;Low;Over 53;1 person
460945;M;No;No;Engineer;Low;Under 30;5 or more people
460953;M;Yes;No;Entertainment;Low;Over 53;2 people
460961;M;No;No;Healthcare;Low;Under 30;2 people
460962;M;Yes;Yes;Executive;High;Over 53;3 or 4 people
460963;F;No;Yes;Artist;Low;Under 30;3 or 4 people
460968;M;Yes;No;Doctor;Average;Between 30 and 41;2 people
460975;M;Yes;;Lawyer;High;Over 53;2 people
460976;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460977;M;Yes;Yes;Executive;High;Between 41 and 53;3 or 4 people
460979;M;Yes;No;Lawyer;Low;Over 53;1 person
460981;F;Yes;No;Marketing;Average;Between 30 and 41;2 people
460984;M;Yes;Yes;Entertainment;Average;Between 30 and 41;3 or 4 people
460988;M;Yes;Yes;Entertainment;Average;Between 41 and 53;3 or 4 people
460989;M;No;No;Healthcare;Low;Under 30;3 or 4 people
460991;F;No;Yes;Healthcare;Low;Under 30;3 or 4 people
460993;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
460999;M;No;Yes;Engineer;Low;Under 30;3 or 4 people
461000;M;Yes;No;Marketing;High;Over 53;2 people
461001;F;No;Yes;Artist;Low;Over 53;2 people
461015;M;Yes;Yes;Entertainment;Average;Between 30 and 41;2 people
461016;M;No;No;Healthcare;Low;Under 30;5 or more people
461022;M;Yes;Yes;Artist;Low;Over 53;1 person
461023;M;Yes;No;Lawyer;High;Over 53;2 people
461024;M;Yes;Yes;Lawyer;Low;Over 53;1 person
461028;F;No;No;Healthcare;Low;Under 30;3 or 4 people
461029;M;Yes;No;Entertainment;Low;Between 41 and 53;2 people
461034;F;No;No;Marketing;Low;Under 30;5 or more people
461037;M;Yes;Yes;Healthcare;High;Between 30 and 41;5 or more people
461038;F;Yes;Yes;Engineer;High;Between 41 and 53;5 or more people
461041;F;Yes;No;Lawyer;High;Over 53;5 or more people
461042;M;No;No;Healthcare;Low;Under 30;2 people
461043;M;Yes;No;Healthcare;Low;Between 41 and 53;5 or more people
461044;M;No;No;Healthcare;Low;Under 30;5 or more people
461049;F;Yes;Yes;Doctor;Low;Over 53;5 or more people
461050;M;Yes;Yes;;High;Between 41 and 53;3 or 4 people
461053;M;Yes;No;Executive;High;Between 30 and 41;3 or 4 people
461059;F;Yes;No;Lawyer;High;Between 41 and 53;2 people
461060;M;Yes;Yes;Executive;High;Over 53;5 or more people
461065;M;Yes;Yes;Executive;Low;Over 53;5 or more people
461071;M;Yes;No;Engineer;Average;Between 41 and 53;5 or more people
461078;F;No;No;Homemaker;Low;Between 30 and 41;5 or more people
461082;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461085;F;No;No;Engineer;Low;Under 30;1 person
461093;F;Yes;Yes;Artist;Average;Between 30 and 41;3 or 4 people
461099;F;No;No;Artist;Low;Between 30 and 41;3 or 4 people
461111;F;Yes;Yes;Doctor;Low;Between 41 and 53;1 person
461114;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
461116;M;Yes;No;Executive;High;Between 30 and 41;3 or 4 people
461118;F;No;Yes;Healthcare;Low;Under 30;2 people
461119;F;No;No;Healthcare;Low;Under 30;3 or 4 people
461121;M;No;No;Doctor;Low;Between 30 and 41;3 or 4 people
461124;M;No;No;Healthcare;Low;Under 30;5 or more people
461127;M;No;No;Healthcare;Low;Under 30;5 or more people
461128;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461129;F;Yes;Yes;Entertainment;Average;Over 53;3 or 4 people
461131;M;Yes;Yes;Artist;High;Over 53;2 people
461145;F;Yes;Yes;Entertainment;Low;Between 30 and 41;2 people
461152;F;No;No;Homemaker;Low;Under 30;2 people
461154;M;No;No;Homemaker;Low;Under 30;3 or 4 people
461158;F;No;Yes;Entertainment;Low;Between 41 and 53;2 people
461162;F;No;No;Marketing;Low;Between 30 and 41;3 or 4 people
461163;F;Yes;No;Entertainment;Low;Over 53;3 or 4 people
461168;F;Yes;No;Engineer;Average;Under 30;2 people
461169;M;No;Yes;Entertainment;Low;Between 30 and 41;2 people
461174;F;No;No;Marketing;Low;Under 30;3 or 4 people
461177;M;Yes;No;Executive;Average;Between 30 and 41;3 or 4 people
461178;M;Yes;No;Entertainment;Low;Under 30;3 or 4 people
461179;F;Yes;No;Engineer;Low;Under 30;3 or 4 people
461181;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461183;M;No;No;Executive;Low;Between 30 and 41;5 or more people
461187;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461197;M;No;No;Marketing;Low;Under 30;1 person
461198;F;No;Yes;Lawyer;Low;Over 53;1 person
461201;F;No;Yes;Artist;Low;Over 53;1 person
461205;M;No;Yes;Healthcare;Low;Under 30;3 or 4 people
461211;F;No;Yes;Entertainment;Low;Between 41 and 53;1 person
461214;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461215;F;No;Yes;Artist;Low;Between 30 and 41;1 person
461218;M;Yes;No;Executive;Low;Under 30;5 or more people
461220;F;No;No;Executive;Low;Under 30;3 or 4 people
461221;F;No;No;Marketing;Low;Under 30;3 or 4 people
461225;F;No;No;Marketing;Low;Under 30;5 or more people
461226;M;Yes;Yes;;Low;Between 41 and 53;2 people
461230;F;No;No;Executive;Low;Under 30;2 people
461232;F;Yes;Yes;Executive;High;Between 30 and 41;2 people
461233;M;Yes;Yes;Entertainment;Low;Between 30 and 41;2 people
461236;F;No;Yes;Healthcare;Low;Under 30;1 person
461237;M;No;Yes;Doctor;Low;Between 30 and 41;5 or more people
461241;M;Yes;Yes;Healthcare;Low;Between 30 and 41;2 people
461242;M;Yes;Yes;Healthcare;Low;Between 41 and 53;2 people
461243;M;Yes;Yes;Marketing;Low;Between 41 and 53;5 or more people
461248;F;No;No;Healthcare;Low;Between 30 and 41;1 person
461251;F;No;Yes;Marketing;Low;Between 41 and 53;2 people
461252;F;Yes;Yes;Doctor;Low;Over 53;1 person
461256;M;No;No;Doctor;Low;Under 30;3 or 4 people
461257;M;Yes;Yes;Engineer;Average;Between 30 and 41;2 people
461258;F;Yes;Yes;Artist;Average;Over 53;3 or 4 people
461262;F;No;No;Engineer;Low;Under 30;5 or more people
461263;F;Yes;Yes;Artist;Low;Between 41 and 53;1 person
461265;M;No;No;Marketing;Low;Under 30;5 or more people
461269;M;No;No;Entertainment;Low;Under 30;3 or 4 people
461274;F;Yes;Yes;Lawyer;High;Over 53;2 people
461276;M;Yes;Yes;Marketing;Low;Over 53;2 people
461277;M;Yes;Yes;Lawyer;Low;Over 53;1 person
461281;M;No;No;Healthcare;Low;Under 30;5 or more people
461286;F;No;No;Doctor;Low;Under 30;3 or 4 people
461289;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461292;F;Yes;No;Lawyer;High;Over 53;2 people
461297;M;Yes;No;Lawyer;High;Over 53;2 people
461299;F;Yes;Yes;Lawyer;High;Over 53;2 people
461303;F;No;No;Doctor;Low;Under 30;3 or 4 people
461308;M;No;No;Healthcare;Low;Under 30;2 people
461309;F;No;No;Healthcare;Low;Under 30;3 or 4 people
461313;M;Yes;Yes;Artist;Average;Over 53;2 people
461314;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
461319;M;Yes;No;Artist;Average;Over 53;2 people
461320;F;No;Yes;Artist;Low;Between 30 and 41;3 or 4 people
461322;M;Yes;Yes;Artist;Average;Between 41 and 53;2 people
461323;F;Yes;Yes;Healthcare;Average;Between 41 and 53;2 people
461324;F;No;Yes;Artist;Low;Between 41 and 53;1 person
461326;F;No;Yes;Artist;Low;Between 30 and 41;1 person
461335;M;Yes;No;Executive;High;Over 53;2 people
461340;M;Yes;Yes;Artist;Average;Between 30 and 41;2 people
461346;M;Yes;Yes;Artist;Low;Between 41 and 53;2 people
461348;M;Yes;Yes;Healthcare;Low;Between 41 and 53;1 person
461350;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461352;M;No;No;Healthcare;Low;Under 30;5 or more people
461356;M;No;Yes;Entertainment;Low;Under 30;2 people
461357;M;No;Yes;Healthcare;Low;Under 30;3 or 4 people
461363;M;No;Yes;Artist;Low;Between 41 and 53;1 person
461366;M;No;Yes;Healthcare;Low;Between 30 and 41;1 person
461370;M;No;Yes;Doctor;Low;Under 30;3 or 4 people
461377;F;Yes;Yes;Artist;Low;Over 53;1 person
461378;F;No;Yes;Artist;Low;Between 41 and 53;1 person
461379;M;No;Yes;Healthcare;Low;Between 30 and 41;2 people
461383;M;Yes;Yes;Artist;High;Over 53;2 people
461388;M;No;No;Healthcare;Low;Under 30;5 or more people
461397;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461402;F;No;Yes;Entertainment;Low;Under 30;5 or more people
461408;M;Yes;Yes;Marketing;Low;Between 41 and 53;3 or 4 people
461421;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
461423;M;No;Yes;Artist;Low;Between 30 and 41;3 or 4 people
461426;M;Yes;Yes;Artist;Average;Between 41 and 53;2 people
461428;M;No;Yes;Artist;Low;Between 41 and 53;1 person
461432;F;Yes;Yes;Artist;Average;Between 30 and 41;2 people
461437;M;Yes;Yes;Entertainment;Average;Between 30 and 41;2 people
461439;M;Yes;Yes;Artist;Average;Between 30 and 41;2 people
461441;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
461442;M;Yes;Yes;Artist;Average;Between 41 and 53;5 or more people
461454;F;Yes;Yes;Artist;High;Between 30 and 41;3 or 4 people
461456;F;No;No;Marketing;Low;Between 30 and 41;1 person
461457;F;Yes;No;Doctor;Low;Between 30 and 41;5 or more people
461458;F;No;Yes;Artist;Low;Between 30 and 41;1 person
461462;M;Yes;Yes;Marketing;Low;Over 53;3 or 4 people
461465;M;Yes;Yes;Artist;Average;Between 30 and 41;2 people
461466;M;Yes;No;Artist;Low;Between 41 and 53;2 people
461468;M;Yes;Yes;Entertainment;Average;Over 53;3 or 4 people
461469;M;Yes;Yes;Artist;Low;Between 30 and 41;2 people
461476;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
461479;F;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
461480;F;Yes;Yes;Artist;High;Over 53;3 or 4 people
461482;F;No;Yes;Artist;Low;Between 41 and 53;1 person
461494;M;Yes;No;Engineer;Average;Under 30;2 people
461501;F;Yes;Yes;Engineer;High;Between 41 and 53;3 or 4 people
461503;F;No;Yes;Artist;Low;Under 30;2 people
461510;M;Yes;Yes;Artist;Low;Between 41 and 53;2 people
461514;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461516;M;Yes;Yes;Entertainment;Average;Between 30 and 41;3 or 4 people
461518;F;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
461521;M;Yes;Yes;Artist;High;Over 53;2 people
461522;M;Yes;No;Executive;High;Over 53;2 people
461525;M;Yes;Yes;Entertainment;Low;Over 53;2 people
461526;M;Yes;No;Entertainment;Low;Over 53;2 people
461530;M;Yes;Yes;Engineer;Low;Between 30 and 41;2 people
461534;M;Yes;Yes;Artist;Low;Between 30 and 41;1 person
461540;M;No;Yes;;Low;Between 30 and 41;2 people
461546;F;Yes;No;Lawyer;Low;Over 53;3 or 4 people
461548;F;No;Yes;Engineer;Low;Between 30 and 41;3 or 4 people
461553;M;No;Yes;Artist;Low;Between 30 and 41;3 or 4 people
461556;F;Yes;Yes;Engineer;Average;Between 41 and 53;2 people
461558;M;Yes;Yes;Engineer;Average;Between 41 and 53;2 people
461564;M;Yes;Yes;Executive;High;Over 53;2 people
461570;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
461574;F;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
461587;M;No;Yes;Healthcare;Low;Under 30;3 or 4 people
461593;F;Yes;Yes;Doctor;Average;Between 30 and 41;2 people
461602;F;No;Yes;Artist;Low;Under 30;2 people
461604;M;Yes;No;Entertainment;Average;Between 30 and 41;2 people
461612;F;No;Yes;Healthcare;Low;Between 30 and 41;5 or more people
461615;M;No;Yes;Doctor;Low;Between 30 and 41;2 people
461617;M;No;Yes;Artist;Low;Between 41 and 53;2 people
461619;M;Yes;Yes;Executive;High;Between 41 and 53;3 or 4 people
461624;F;Yes;Yes;Artist;Average;Between 30 and 41;2 people
461626;M;Yes;Yes;Executive;High;Over 53;2 people
461630;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
461637;M;Yes;Yes;Artist;Low;Between 41 and 53;2 people
461644;M;No;No;Healthcare;Low;Under 30;5 or more people
461653;F;Yes;Yes;Doctor;Average;Over 53;2 people
461655;F;Yes;Yes;Homemaker;Average;Between 30 and 41;2 people
461658;F;Yes;Yes;Artist;Average;Over 53;2 people
461659;F;Yes;Yes;Artist;Average;Between 41 and 53;2 people
461661;F;Yes;Yes;Artist;Average;Between 30 and 41;2 people
461663;M;No;No;Healthcare;Low;Under 30;3 or 4 people
461668;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
461671;M;No;No;Healthcare;Low;Between 30 and 41;5 or more people
461674;M;Yes;Yes;Executive;High;Between 41 and 53;3 or 4 people
461676;F;No;Yes;Engineer;Low;Between 30 and 41;1 person
461679;M;No;Yes;Healthcare;Low;Under 30;3 or 4 people
461681;M;No;Yes;Healthcare;Low;Under 30;3 or 4 people
461683;M;Yes;Yes;Executive;High;Between 30 and 41;3 or 4 people
461685;F;No;Yes;Healthcare;Low;Under 30;3 or 4 people
461686;M;Yes;Yes;Artist;Low;Over 53;2 people
461690;F;No;Yes;Engineer;Low;Between 30 and 41;1 person
461694;M;No;Yes;Doctor;Low;Under 30;3 or 4 people
461695;F;Yes;Yes;Artist;Average;Between 41 and 53;2 people
461698;F;Yes;Yes;Artist;High;Over 53;2 people
461701;M;Yes;No;Artist;Average;Between 30 and 41;2 people
461705;F;No;No;Healthcare;Low;Between 30 and 41;3 or 4 people
461708;M;Yes;No;Lawyer;High;Over 53;2 people
461709;M;No;Yes;Artist;Low;Under 30;3 or 4 people
461711;F;No;Yes;Artist;Low;Between 41 and 53;3 or 4 people
461716;F;Yes;Yes;Lawyer;High;Over 53;5 or more people
461720;F;No;Yes;Artist;Low;Between 41 and 53;1 person
461722;M;No;No;Doctor;Low;Between 30 and 41;3 or 4 people
461724;F;Yes;Yes;Artist;Low;Between 41 and 53;1 person
461725;F;No;Yes;Engineer;Low;Under 30;1 person
461727;F;No;Yes;Artist;Low;Between 41 and 53;3 or 4 people
461737;F;Yes;Yes;Doctor;Average;Between 41 and 53;5 or more people
461738;F;Yes;Yes;;Average;Between 41 and 53;3 or 4 people
461744;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
461747;M;Yes;Yes;Artist;High;Over 53;2 people
461749;F;No;No;Healthcare;Low;Under 30;5 or more people
461752;M;Yes;Yes;Doctor;Average;Over 53;3 or 4 people
461756;F;Yes;Yes;Engineer;Average;Between 30 and 41;2 people
461760;M;Yes;Yes;Artist;High;Over 53;2 people
461769;M;No;Yes;Artist;Low;Between 30 and 41;1 person
461771;M;Yes;Yes;Doctor;Average;Under 30;2 people
461775;F;Yes;No;Lawyer;High;Over 53;2 people
461778;F;Yes;Yes;Lawyer;High;Over 53;2 people
461780;F;No;Yes;Lawyer;Low;Over 53;5 or more people
461782;F;Yes;Yes;Artist;High;Between 41 and 53;5 or more people
461784;F;Yes;Yes;Lawyer;Low;Over 53;1 person
461788;F;Yes;Yes;Lawyer;High;Over 53;2 people
461791;F;No;No;Lawyer;Low;Under 30;1 person
461792;F;No;No;Healthcare;Low;Under 30;5 or more people
461800;F;No;Yes;Doctor;Low;Between 41 and 53;1 person
461801;F;No;No;Healthcare;Low;Under 30;3 or 4 people
461802;M;No;Yes;Artist;Low;Between 41 and 53;3 or 4 people
461804;F;No;Yes;Artist;Low;Between 41 and 53;1 person
461807;M;No;Yes;Doctor;Low;Under 30;3 or 4 people
461815;M;Yes;Yes;Artist;Low;Over 53;1 person
461816;F;No;Yes;Marketing;Low;Between 41 and 53;5 or more people
461821;F;No;No;Doctor;Low;Between 30 and 41;3 or 4 people
461822;M;Yes;Yes;Artist;High;Between 30 and 41;2 people
461824;M;Yes;Yes;Marketing;Low;Between 41 and 53;3 or 4 people
461832;M;No;Yes;Healthcare;Low;Under 30;3 or 4 people
461837;M;Yes;Yes;Artist;Low;Between 30 and 41;2 people
461845;F;Yes;Yes;Doctor;Average;Between 41 and 53;3 or 4 people
461846;F;No;Yes;Artist;Low;Over 53;2 people
461848;M;No;No;Marketing;Low;Between 30 and 41;2 people
461858;M;No;No;Entertainment;Low;Under 30;5 or more people
461859;F;Yes;No;Artist;Low;Between 41 and 53;5 or more people
461860;F;Yes;Yes;Lawyer;High;Over 53;2 people
461862;F;No;Yes;Artist;Low;Between 30 and 41;1 person
461864;M;No;Yes;Marketing;Low;Under 30;5 or more people
461872;F;Yes;Yes;Lawyer;High;Over 53;2 people
461873;M;No;Yes;Doctor;Low;Under 30;3 or 4 people
461874;M;Yes;Yes;Doctor;Average;Between 41 and 53;3 or 4 people
461882;F;No;Yes;Doctor;Low;Under 30;5 or more people
461892;F;No;Yes;Healthcare;Low;Between 41 and 53;1 person
461896;M;Yes;Yes;Artist;Low;Between 41 and 53;1 person
461898;M;Yes;Yes;Executive;High;Over 53;3 or 4 people
461899;F;No;No;Doctor;Low;Under 30;5 or more people
461901;M;No;Yes;Artist;Low;Under 30;3 or 4 people
461910;M;Yes;Yes;Artist;Average;Between 30 and 41;2 people
461913;M;No;Yes;Entertainment;Low;Between 41 and 53;3 or 4 people
461914;F;Yes;Yes;Artist;Low;Over 53;2 people
461921;F;No;Yes;Artist;Low;Between 30 and 41;1 person
461927;M;No;No;Healthcare;Low;Between 30 and 41;3 or 4 people
461928;M;Yes;Yes;Lawyer;Low;Over 53;1 person
461929;M;Yes;Yes;Entertainment;Low;Over 53;1 person
461930;F;No;Yes;Artist;Low;Between 41 and 53;1 person
461931;F;No;No;Healthcare;Low;Under 30;5 or more people
461936;M;Yes;No;Lawyer;High;Over 53;2 people
461937;F;No;Yes;Doctor;Low;Between 41 and 53;2 people
